"Product Image Zoom","Imagem do Produto (Zoom)"
"General Settings","Configura&ccedil;&otilde;es Gerais"
"Active","Ativar"
"No","Não"
"Enables or disables customization on product page.","Ativa ou desativa a personalia&ccedil;&atilde;o de imagens."
"Autoplay","Mudan&ccedil;a automatica"
"Enables or disables the automatic image change.","Ativa ou desativa a mudan&ccedil;a automatica da imagem."
"Autoplay interval time","Intervalo de tempo da mudan&ccedil;a"
"Example: (6000), only integer is valid.","Exemplo (6000), permitido apenas n&uacute;meros inteiros."
"Speed of interval of Image change.","Tempo da troca de imagem, 6000 = 6 segundos."
"Fade in interval","Efeito no intervalo"
"Example: (600), only integer is valid.","Exemplo (600), permitido apenas n&uacute;meros inteiros."
"It is the image transition effect, how much most the transition is slower.","&Eacute; o efeito de transi&ccedil;&atilde;o de imagem, quanto maior, mais tempo dura o efeito."
"Show magnifier icon","Mostrar &iacute;cone de lupa"
"Display magnifying glass icon on the main image.","Exibe &iacute;cone de lupa na imagem principal."
"Featured Picture Settings","Configura&ccedil;&atilde;o da Imagem Principal"
"Width","Comprimento da imagem"
"Main image width, example: (260), enter only integer.","Exemplo: (260), permitido apenas n&uacute;meros inteiros."
"Height","Altura da imagem"
"Main image height, example: (260), enter only integer.","Exemplo: (260), permitido apenas n&uacute;meros inteiros."
"Resize image in scale","Redimensionar em escala"
"Keep the image in original aspect ratio.","Mantem a imagem na propor&ccedil;&atilde;o original."
"If the image does not reaches minimum the in proportion size is added a frame maintaining the scale.","Se a imagem n&atilde;o atingir o tamanho m&iacute;nimo em propor&ccedil;&atilde;o, &eacute; adicionado um quadro, mantendo a escala da imagem."
"Background color of resize","Cor do redimensionamento"
"Change the background color of frame if necessary.","Alterar a cor de fundo do quadro, se necess&aacute;rio."
"After resizing the image, is added a frame if the image  does not reach minimum proportion, the color selected in the field changes the background color of this frame.","Ap&oacute;s redimensionar a imagem, &eacute; adicionado um quadro, se a imagem n&atilde;o obtiver propor&ccedil;&atilde;o m&iacute;nima, a cor selecionada no campo, ser&aacute; a cor desse quadro."
"Thumbnails Settings","Configura&ccedil;&atilde;o das Miniaturas"
"Show","Mostrar"
"%s fixed thumbnail","%s miniatura fixa"
"%s fixed thumbnails","%s miniaturas fixa"
"Fixed amount of thumbnails shown.","Quantia fixa de miniaturas na p&aacute;gina do produto."
"Position of thumbnails","Posi&ccedil;&atilde;o das miniaturas"
"Top","Topo"
"Right","Direita"
"Bottom","Embaixo"
"Left","Esquerda"
"Position of where it will be displayed thumbnails.","Posi&ccedil;&atilde;o de onde ser&aacute; exibidas miniaturas."
"The position of the thumbnails is based in the main picture, ie the thumbnails will positioned in the chosen side (top, right, bottom and left) of the main image.","A posi&ccedil;&atilde;o das miniaturas &eacute; baseada na imagem principal, ou seja, as miniaturas ser&aacute; posicionadas no lado escolhido (topo, direita, embaixo e esquerda) da imagem principal."
"Zoom Settings","Configura&ccedil;&atilde;o do Zoom"
"Width image of zoom","Comprimento da imagem"
"Example: (800), enter only integer","Exemplo: (800), permitido apenas n&uacute;meros inteiros."
"Height image of zoom","Altura da imagem"
"Zoom area width","Comprimento da &aacute;rea do zoom"
"Example: (500), enter only integer","Exemplo: (500), permitido apenas n&uacute;meros inteiros."
"Zoom area height","Altura da &aacute;rea do zoom"
"Example: (500) or blank = automatic, enter only integer.","Exemplo: (500) ou 'em branco' = autom&aacute;tica."
"If you want the height is automatic with the content of the images, leave this field blank.","Caso queira que a altura da &aacute;rea do zoom seja autom&aacute;tica com o conte&uacute;do das imagens, deixe este campo em branco."
"Show description","Exibir descri&ccedil;&atilde;o da imagem"
"Shown description of the image, on image of zoom.","Exibe a descri&ccedil;&atilde;o da imagem, na imagem de zoom."
"Position of description","Posi&ccedil;&atilde;o da descri&ccedil;&atilde;o"
"Position of description of image of zoom.","Posi&ccedil;&atilde;o da descri&ccedil;&atilde;o da imagem de zoom."
"Opacity of description","Opacidade da descri&ccedil;&atilde;o"
"Example: (0.7), default of css.","Exemplo: (0.7), padr&atilde;o de css."
"Background color of description","Cor de fundo da descri&ccedil;&atilde;o"
"Example: (#FFFFF).","Exemplo: (#FFFFF)."
"Color of description","Cor da fonte da descri&ccedil;&atilde;o"
"Example: (#000000).","Exemplo: (#000000)."
"Css Settings","Configura&ccedil;&atilde;o de CSS"
"Border","Borda"
"Example: (1px solid #DDDDDD), default of css.","Exemplo: (1px solid #DDDDDD), padr&atilde;o de css."
"Customizes the edge of images with thickness and color.","Personaliza a borda das imagens com espessura e cor."
"Box shadow","Box shadow"
"Example: (0 0 10px #DDDDDD), default of css.","Exemplo: (0 0 10px #DDDDDD), padr&atilde;o de css."
"Customize the shadows of the images, and can increase the shadow height and give color to it.","Personaliza as sombras das imagens, podendo aumentar a altura da sombra e dar cor a ela."
"Opacity inactive thumbnails","Opacidade das miniaturas"
"Example: (0.3), default of css.","Exemplo: (0.3), padr&atilde;o de css."
"Transparency of the thumbnails that were not selected.","Transpar&ecirc;ncia das miniaturas que n&atilde;o est&atilde;o selecionadas."
"Opacity image in magnifier","Opacidade da imagem principal"
"Example: (0.5), default of css.","Exemplo: (0.5), padr&atilde;o de css."
"Transparency of the main image when passes mouse.","Transpar&ecirc;ncia da imagem principal quando se passa o mouse."
"Video Settings","Configura&ccedil;&atilde;o de V&iacute;deo"
"Enables or disables video display.","Ativa ou desativa a exibi&ccedil;&atilde;o de v&iacute;deo."
"If 'Yes', enables a tab on new/edit product next to images tab, with a field to add the video embed. On the front-end displays an icon next to the thumbnails, which when clicked displays the video.","Se 'Sim', um nova aba estar&aacute; dispon&iacute;vel em novo/editar do produto pr&oacute;ximo a aba de imagens, com um campo para adicionar o v&iacute;deo 'embed'. No front-end exibe um &iacute;cone ao lado das miniaturas, que quando clicado exibe o v&iacute;deo."
"Video icon","Icone da chamada do v&iacute;deo"
"Delete Image","Excluir imagem"
"Select an image as the video icon. If you do not select any icon, a default will be displayed, after clicking on icon the video displayed.","Selecione uma imagem para ser o &iacute;cone da chamada do v&iacute;deo. Se n&atilde;o for selecionado qualquer &iacute;cone, um &iacute;cone padr&atilde;o ser&aacute; exibido, ap&oacute;s clicar no &iacute;cone, o v&iacute;deo ser&aacute; exibido."
"Background color of modal","Cor de fundo do modal"
"Select a background color of modal.","Selecione uma cor de fundo para o modal."
"Opacity of background","Opacidade do fundo do modal"
"Border of content","Borda do conte&uacute;do"
"Box shadow of content","Box shadow do conte&uacute;do"
"Background color of content","Cor de fundo do conte&uacute;do"
"Select a background color of content.","Selecione uma cor de fundo para o conte&uacute;do"
